5.034899999999999931e-01,4.233444999999999681e+01,5.262277618975488606e+21
4.951999999999999735e-01,4.228019999999999357e+01,4.794667242261395276e+21
6.782000000000000250e-01,4.343769999999999953e+01,1.426677263445761248e+22
8.671999999999999709e-01,4.374684999999999491e+01,1.398938490107745167e+22
7.992000000000000215e-01,4.376049999999999329e+01,1.410996233003192235e+22
3.712900000000000089e-01,4.168784999999999741e+01,3.879262210622330765e+21
3.556799999999999962e-01,4.145914999999999395e+01,3.518726711037366108e+21
2.839099999999999957e-01,4.080915000000000248e+01,2.106048033180106359e+21
4.669099999999999917e-01,4.261634999999999707e+01,7.508079907682596684e+21
9.479100000000000303e-01,4.381154999999999688e+01,1.347055021600045584e+22
6.939100000000000268e-01,4.319644999999999868e+01,1.525547703783314476e+22
8.979099999999999859e-01,4.380275000000000318e+01,1.369833756612102193e+22
7.899100000000000010e-01,4.361880000000000024e+01,8.689529240875868094e+21
5.909100000000000463e-01,4.273539999999999850e+01,8.343854547104671203e+21
2.101999999999999980e-01,4.004495000000000005e+01,1.520883532949209219e+21
8.591999999999999638e-01,4.352369999999999806e+01,1.070956683338279236e+22
5.592000000000000304e-01,4.256479999999999819e+01,6.208237764965587485e+21
9.971999999999999753e-01,4.409964999999999691e+01,1.322815468809986087e+22
5.834000000000000297e-01,4.274384999999999479e+01,6.309567648760294539e+21
7.972000000000000197e-01,4.325444999999999851e+01,1.006956794397792508e+22
9.142000000000000126e-01,4.377894999999999470e+01,1.124776202548185294e+22
9.492099999999999982e-01,4.406674999999999898e+01,1.410410044222399840e+22
7.341999999999999638e-01,4.324809999999999377e+01,9.908540515094215262e+21
7.661999999999999922e-01,4.350804999999999723e+01,1.121297083071821198e+22
9.841999999999999638e-01,4.422799999999999443e+01,1.540505082481960446e+22
7.012000000000000455e-01,4.314919999999999334e+01,1.058650727413657161e+22
8.371600000000000152e-01,4.355449999999999733e+01,1.331193902624507586e+22
3.701599999999999890e-01,4.154009999999999536e+01,3.482489197261854605e+21
